X,Y,Z,R
533436.87,4840337.49,153.94,620.0
533436.88,4840337.56,153.66,570.0
533436.8,4840337.7,153.81,670.0
533436.8,4840338.01,153.7,640.0
533437.06,4840338.31,153.45,760.0
533437.18,4840338.17,153.47,810.0
533436.77,4840338.38,153.88,600.0
533436.88,4840337.33,153.8,570.0
533436.91,4840337.36,153.64,490.0
533437.3,4840337.39,153.01,640.0
533437.39,4840337.64,153.15,520.0
533437.17,4840337.42,153.42,600.0
533437.19,4840337.74,153.37,630.0
533437.38,4840337.57,152.97,660.0
533437.59,4840337.84,152.87,630.0
533437.44,4840337.79,153.16,700.0
533436.77,4840337.14,154.02,480.0
533436.81,4840337.1,153.95,550.0
533436.96,4840337.0,153.81,620.0
533436.52,4840337.0,154.37,380.0
533436.52,4840336.86,154.32,400.0
533436.98,4840336.8,153.57,380.0
533436.93,4840336.67,153.43,350.0
533437.11,4840336.8,153.3,400.0
533437.12,4840337.03,153.49,480.0
533437.05,4840336.88,153.14,460.0
533437.18,4840337.14,153.21,480.0
533436.99,4840336.47,154.2,360.0
533437.16,4840336.12,154.49,250.0
533437.16,4840336.16,154.4,250.0
533437.18,4840336.32,154.21,560.0
533437.14,4840336.42,153.99,560.0
533437.06,4840336.47,153.88,410.0
533437.16,4840335.9,154.35,250.0
533437.07,4840335.97,154.18,280.0
533436.93,4840336.04,153.98,310.0
533436.83,4840336.09,153.64,320.0
533437.06,4840336.25,153.85,350.0
533436.83,4840335.89,153.5,280.0
533436.85,4840335.6,154.0,270.0
533436.72,4840335.42,153.81,260.0
533436.82,4840335.59,153.6,270.0
533436.96,4840336.09,153.37,310.0
533436.7,4840335.54,153.56,270.0
533436.58,4840335.27,154.0,250.0
533436.36,4840335.27,153.78,270.0
533436.43,4840335.01,153.9,230.0
533437.08,4840336.4,153.28,370.0
533436.99,4840336.2,153.25,330.0
533436.96,4840336.56,153.12,420.0
533436.89,4840336.34,153.11,330.0
533436.37,4840335.37,153.47,280.0
533436.34,4840334.97,153.54,230.0
533435.79,4840334.46,154.07,230.0
533435.64,4840334.31,154.0,230.0
533435.96,4840334.56,153.87,250.0
533435.62,4840334.26,153.78,230.0
533435.78,4840334.49,153.89,260.0
533435.68,4840334.08,153.97,190.0
533435.72,4840334.46,153.76,260.0
533435.85,4840334.51,153.64,260.0
533436.0,4840334.61,153.48,250.0
